,order_date,stock_date,order_number,product_key,customer_key,territory_key,order_line_item,order_quantity,OrderDate,ProductKey,CustomerKey,OrderNumber
36,2021-08-17,2021-08-01,SO52719,464,28326,9,3,3,,,,
37,2021-12-04,2021-09-01,SO59316,214,12835,8,2,1,,,,
38,2021-10-13,2021-06-15,SO56045,477,16980,1,1,3,,,,
39,2021-09-08,2021-08-16,SO54006,485,13942,4,1,2,,,,
40,2021-08-11,2021-06-12,SO52369,223,23629,10,3,2,,,,
41,2021-12-07,2021-09-27,SO59518,466,19147,6,4,2,,,,
42,2021-12-11,2021-11-07,SO59774,232,23387,1,3,1,,,,
43,2021-11-01,2021-10-01,SO57226,478,19162,4,4,2,,,,
44,2021-12-02,2021-09-07,SO59158,232,23067,4,3,1,,,,
45,2021-11-05,2021-08-11,SO57476,563,25105,4,1,1,,,,
46,2021-12-06,2021-08-13,SO59409,215,13406,8,4,1,,,,
47,2021-12-03,2021-08-18,SO59239,477,11161,4,4,2,,,,
48,2021-08-10,2021-06-15,SO52357,471,20944,7,3,1,,,,
49,2021-09-01,2021-08-03,SO53650,477,20666,4,3,2,,,,
50,2021-11-05,2021-07-23,SO57464,220,19130,4,4,1,,,,
51,2021-08-13,2021-07-21,SO52506,223,25627,10,3,2,,,,
52,2021-06-13,2021-04-30,SO50898,371,13948,4,1,1,,,,
53,2021-11-13,2021-09-20,SO57846,478,12308,7,2,2,,,,
54,2021-07-19,2021-05-16,SO51475,479,22436,8,2,2,,,,
55,2021-12-24,2021-11-04,SO60643,538,19955,9,1,2,,,,
56,2021-09-23,2021-07-20,SO54869,220,11914,9,2,1,,,,
57,2021-12-03,2021-10-13,SO59229,477,20689,1,1,2,,,,
58,2021-12-26,2021-10-02,SO60767,478,12332,7,2,2,,,,
59,2021-09-27,2021-07-09,SO55062,480,18169,8,2,2,,,,
60,2021-08-19,2021-06-02,SO52837,215,23223,10,2,1,,,,
61,2021-12-30,2021-11-01,SO61077,356,14597,6,1,1,,,,
62,2021-10-07,2021-09-10,SO55713,529,13694,10,1,2,,,,
63,2021-06-24,2021-03-10,SO51012,354,12846,8,1,1,,,,
64,2021-07-24,2021-06-29,SO51545,373,19382,10,1,1,,,,
65,2021-11-16,2021-09-21,SO58023,220,18763,9,3,1,,,,
66,2021-12-23,2021-10-04,SO60627,220,29064,9,4,1,,,,
67,2021-06-21,2021-04-07,SO50990,377,24505,9,1,1,,,,
68,2021-10-16,2021-07-21,SO56198,220,23697,1,3,1,,,,
69,2021-11-10,2021-09-22,SO57722,214,14717,7,3,1,,,,
70,2021-07-03,2021-04-18,SO51223,577,26826,8,1,1,,,,
71,2021-08-13,2021-06-22,SO52484,539,11331,6,1,2,,,,
72,2021-12-07,2021-08-29,SO59570,385,19118,6,1,1,,,,
73,2021-11-18,2021-08-19,SO58138,529,16698,9,1,2,,,,
74,2021-08-08,2021-06-22,SO52258,214,23235,10,2,1,,,,
75,2021-10-28,2021-08-10,SO56826,529,27945,10,1,2,,,,
76,2021-10-02,2021-06-18,SO55431,528,14328,6,1,2,,,,
77,2021-09-01,2021-08-08,SO53645,223,26365,7,2,1,,,,
78,2021-10-22,2021-09-10,SO56483,215,12644,10,4,1,,,,
79,2021-07-23,2021-05-06,SO51534,489,11158,4,3,1,,,,
80,2021-10-08,2021-08-28,SO55749,480,15811,9,3,2,,,,
81,2021-11-24,2021-09-14,SO58525,214,13279,4,3,1,,,,
82,2021-10-28,2021-08-02,SO56810,540,24396,4,1,1,,,,
83,2021-09-13,2021-05-20,SO54289,535,17102,8,1,1,,,,
84,2021-11-29,2021-08-28,SO58779,536,21972,9,1,3,,,,
85,2021-11-28,2021-08-23,SO58722,530,13267,6,1,2,,,,
86,2021-12-12,2021-11-19,SO59859,480,17745,8,3,2,,,,
87,2021-12-14,2021-10-04,SO60035,479,20207,4,2,2,,,,
88,2021-08-18,2021-05-19,SO52739,528,19726,6,2,2,,,,
89,2021-10-01,2021-09-14,SO55361,536,20949,10,2,3,,,,
90,2021-01-08,2020-12-09,SO48856,358,13967,9,1,1,,,,
91,2021-09-07,2021-07-08,SO53951,223,21680,8,3,2,,,,
92,2021-08-01,2021-04-23,SO51901,528,15703,8,2,2,,,,
93,2021-12-17,2021-08-26,SO60189,488,17754,7,2,1,,,,
94,2021-12-17,2021-09-28,SO60209,235,19834,1,2,1,,,,
95,2021-10-05,2021-06-14,SO55573,473,23029,1,4,1,,,,
96,2021-08-25,2021-06-16,SO53103,528,15301,4,1,2,,,,
97,2021-11-07,2021-10-14,SO57576,214,17039,4,2,1,,,,
98,2021-10-27,2021-07-02,SO56791,605,22091,1,1,1,,,,
99,2021-12-29,2021-10-15,SO61014,214,13477,4,2,1,,,,
100,2021-12-12,2021-09-23,SO59862,536,20132,8,1,3,,,,
101,2021-11-27,2021-08-10,SO58653,473,26690,4,3,1,,,,
102,2021-02-17,2020-11-30,SO49332,352,14063,9,1,1,,,,
103,2021-10-20,2021-09-09,SO56393,529,25441,4,1,2,,,,
104,2021-11-18,2021-09-20,SO58130,232,14714,7,3,1,,,,
105,2021-09-08,2021-06-26,SO54018,528,14282,6,2,2,,,,
106,2021-07-15,2021-06-12,SO51409,485,11417,7,2,2,,,,
107,2021-08-26,2021-06-18,SO53169,354,11525,1,1,1,,,,
108,2021-12-08,2021-10-13,SO59616,226,13171,4,2,1,,,,
109,2021-12-15,2021-10-18,SO60051,536,20230,9,1,1,,,,
110,2021-08-02,2021-05-22,SO51927,220,25811,9,3,1,,,,
111,2021-07-11,2021-06-03,SO51343,477,11439,7,3,2,,,,
112,2021-10-08,2021-07-25,SO55807,479,19993,1,2,2,,,,
113,2021-09-02,2021-07-07,SO53705,223,16897,4,3,2,,,,
114,2021-10-31,2021-08-28,SO56963,485,23570,9,1,1,,,,
115,2021-09-02,2021-05-29,SO53711,223,16654,6,2,2,,,,
116,2021-11-12,2021-10-07,SO57817,538,12519,10,1,2,,,,
117,2021-09-19,2021-06-03,SO54599,223,17635,8,2,2,,,,
118,2021-02-06,2020-11-11,SO49226,370,17792,10,1,1,,,,
119,2021-12-18,2021-08-25,SO60314,477,28523,10,2,2,,,,
120,2021-09-20,2021-08-27,SO54676,487,29002,1,2,1,,,,
121,2021-12-11,2021-10-02,SO59789,477,21136,10,4,2,,,,
122,2021-12-29,2021-10-02,SO60999,480,15172,6,2,2,,,,
123,2021-08-29,2021-07-26,SO53329,579,26884,8,1,1,,,,
124,2021-07-11,2021-05-09,SO51349,383,23310,9,1,1,,,,
125,2021-12-15,2021-11-27,SO60102,480,20242,9,4,2,,,,
126,2021-10-02,2021-07-14,SO55419,528,19345,8,2,2,,,,
127,2021-12-28,2021-12-01,SO60935,220,19965,9,2,1,,,,
128,2021-07-30,2021-04-10,SO51664,587,13742,1,1,1,,,,
129,2021-09-25,2021-08-11,SO54961,480,11322,1,3,2,,,,
130,2021-07-09,2021-05-03,SO51311,491,22940,9,2,1,,,,
131,2021-12-03,2021-10-08,SO59268,477,20726,8,3,2,,,,
132,2021-09-11,2021-07-07,SO54164,537,14982,10,2,1,,,,
133,2021-09-18,2021-06-15,SO54544,215,24450,1,2,1,,,,
134,2021-07-15,2021-03-29,SO51410,485,14945,8,2,2,,,,
135,2021-10-26,2021-08-15,SO56729,220,23219,10,2,1,,,,
136,2021-08-10,2021-07-25,SO52355,536,17771,7,1,1,,,,
137,2021-11-12,2021-10-08,SO57826,480,14270,4,3,1,,,,
138,2021-11-01,2021-09-21,SO57228,354,11773,4,1,1,,,,
139,2021-11-15,2021-08-17,SO57978,540,24677,4,1,1,,,,
140,2021-08-05,2021-06-20,SO52065,381,23311,9,1,1,,,,
141,2021-10-10,2021-09-18,SO55868,358,11583,7,1,1,,,,
142,2021-10-31,2021-07-21,SO56990,541,13785,10,1,2,,,,
143,2021-12-04,2021-09-10,SO59310,536,16434,8,1,2,,,,
144,2021-07-08,2021-06-04,SO51298,605,27949,10,1,1,,,,
145,2021-08-26,2021-06-01,SO53134,528,11479,7,3,2,,,,
146,2021-09-14,2021-08-20,SO54326,583,24711,8,1,1,,,,
147,2021-02-05,2020-11-18,SO49221,379,23532,9,1,1,,,,
148,2021-12-14,2021-11-07,SO60041,215,24198,7,4,1,,,,
149,2021-10-12,2021-08-07,SO55995,485,13923,4,1,2,,,,
150,2021-10-06,2021-06-19,SO55632,232,20129,1,2,1,,,,
151,2021-08-07,2021-05-03,SO52202,356,11526,6,1,1,,,,
152,2021-10-18,2021-07-23,SO56321,540,18931,9,2,1,,,,
153,2021-07-06,2021-03-17,SO51264,528,11282,1,2,2,,,,
154,2021-12-25,2021-09-08,SO60753,529,22295,4,3,2,,,,
155,2021-12-19,2021-11-22,SO60370,214,13104,9,4,1,,,,
156,2021-08-03,2021-04-08,SO51970,486,17305,9,4,1,,,,
157,2021-08-07,2021-05-20,SO52160,537,11422,10,2,1,,,,
158,2021-08-28,2021-06-14,SO53267,529,23959,8,1,2,,,,
159,2021-10-04,2021-09-11,SO55548,487,19986,4,4,1,,,,
160,2021-12-23,2021-11-03,SO60610,389,16528,9,1,1,,,,
161,2021-12-04,2021-08-12,SO59328,381,24924,9,1,1,,,,
162,2021-09-23,2021-05-31,SO54840,477,23272,4,2,2,,,,
163,2021-12-05,2021-11-01,SO59386,223,12404,10,2,2,,,,
164,2021-12-29,2021-09-08,SO61012,472,15892,1,3,1,,,,
165,2021-08-16,2021-05-23,SO52616,473,11485,10,4,1,,,,
166,2021-09-23,2021-09-05,SO54836,214,11223,6,2,1,,,,
167,2021-10-06,2021-07-01,SO55651,477,14423,10,4,2,,,,
168,2021-12-28,2021-09-27,SO60902,214,15172,6,3,1,,,,
169,2021-11-07,2021-07-16,SO57592,605,22606,8,1,1,,,,
170,2021-09-26,2021-08-04,SO55018,528,11539,4,3,1,,,,
171,2021-12-06,2021-08-29,SO59486,220,13010,9,2,1,,,,
172,2021-10-25,2021-08-24,SO56685,606,28116,9,1,1,,,,
173,2021-10-22,2021-09-17,SO56492,214,20266,9,3,1,,,,
174,2021-07-16,2021-04-05,SO51436,214,16218,1,2,1,,,,
175,2021-09-23,2021-08-11,SO54831,229,11091,6,1,1,,,,
176,2021-10-24,2021-10-06,SO56637,362,12930,1,1,1,,,,
177,2021-12-25,2021-09-24,SO60716,480,15505,1,2,2,,,,
178,2021-09-20,2021-07-17,SO54682,475,18391,6,2,1,,,,
179,2021-10-13,2021-06-19,SO56025,235,14067,9,1,1,,,,
180,2021-12-17,2021-11-25,SO60212,477,16774,1,1,2,,,,
181,2021-08-01,2021-05-07,SO51897,477,13199,6,1,2,,,,
182,2021-09-04,2021-06-17,SO53822,479,18694,9,2,2,,,,
183,2021-12-25,2021-12-02,SO60711,528,22361,4,2,2,,,,
184,2021-12-05,2021-10-16,SO59406,479,22580,9,2,2,,,,
185,2021-08-18,2021-06-18,SO52766,538,16222,4,2,2,,,,
186,2021-12-24,2021-11-26,SO60672,466,13756,6,4,2,,,,
187,2021-04-28,2021-02-05,SO50163,354,27250,1,1,1,,,,
188,2021-09-08,2021-08-07,SO54038,570,28108,9,2,1,,,,
189,2021-12-02,2021-10-27,SO59199,477,25989,6,4,1,,,,
190,2021-07-03,2021-04-18,SO51223,577,26826,8,1,1,,,,
191,2021-10-12,2021-09-07,SO55973,220,11045,9,3,1,,,,
192,2021-12-23,2021-10-13,SO60630,574,11448,9,1,1,,,,
193,2021-04-08,2021-02-06,SO49968,354,15029,9,1,1,,,,
194,2021-03-31,2021-01-20,SO49814,356,11336,7,1,1,,,,
195,2021-09-13,2021-06-17,SO54267,477,11604,10,4,1,,,,
196,2021-09-13,2021-07-23,SO54298,358,12181,4,1,1,,,,
197,2021-09-25,2021-07-01,SO54941,483,11598,8,4,1,,,,
198,2021-08-07,2021-04-16,SO52189,528,15257,1,1,3,,,,
199,2021-11-24,2021-09-15,SO58526,478,13329,4,2,2,,,,
200,2021-11-02,2021-10-16,SO57263,215,22756,4,3,1,,,,
201,2021-12-28,2021-09-12,SO60928,354,13947,1,1,1,,,,
202,2021-12-07,2021-10-26,SO59569,223,23144,1,2,2,,,,
203,2021-11-02,2021-08-17,SO57284,479,11352,7,1,2,,,,
204,2021-12-11,2021-10-23,SO59826,220,23486,6,4,1,,,,
205,2021-08-21,2021-07-05,SO52923,479,21619,4,2,2,,,,
206,2021-11-27,2021-10-03,SO58691,480,11920,9,4,2,,,,
207,2021-12-21,2021-12-02,SO60505,480,13090,9,3,1,,,,
208,2021-10-12,2021-07-16,SO55988,214,20410,1,3,1,,,,
209,2021-11-07,2021-08-01,SO57534,354,13411,10,1,1,,,,
210,2021-09-11,2021-06-25,SO54148,371,18494,9,1,1,,,,
211,2021-05-01,2021-01-23,SO50324,377,18158,10,1,1,,,,
212,2021-12-17,2021-08-23,SO60233,215,11854,4,7,1,,,,
213,2021-03-20,2020-12-30,SO49731,360,29450,7,1,1,,,,
214,2021-07-29,2021-06-02,SO51653,214,29137,6,2,1,,,,
215,2021-12-28,2021-09-29,SO60899,539,11423,8,2,2,,,,
216,2021-08-26,2021-08-11,SO53159,529,14174,8,1,2,,,,
217,2021-08-07,2021-07-19,SO52160,362,11422,10,1,1,,,,
218,2021-09-20,2021-09-05,SO54715,223,24110,7,2,2,,,,
219,2021-11-16,2021-10-03,SO58042,540,13756,6,2,1,,,,
220,2021-08-24,2021-05-28,SO53008,480,13962,9,3,1,,,,
221,2021-12-02,2021-08-10,SO59153,539,11530,6,1,2,,,,
222,2021-10-20,2021-10-02,SO56415,528,11311,1,2,2,,,,
223,2021-12-21,2021-09-06,SO60483,528,14609,4,1,2,,,,
224,2021-11-21,2021-09-06,SO58290,214,15812,9,3,1,,,,
225,2021-12-03,2021-10-10,SO59216,478,17803,10,2,2,,,,
226,2021-08-10,2021-05-30,SO52354,232,20138,8,4,1,,,,
227,2021-11-27,2021-08-03,SO58689,358,13077,9,1,1,,,,
228,2021-08-12,2021-06-12,SO52430,481,20391,4,3,2,,,,
229,2021-12-17,2021-09-30,SO60248,214,26932,10,2,1,,,,
230,2021-09-03,2021-06-20,SO53744,229,15105,8,2,1,,,,
231,2021-10-30,2021-10-07,SO56955,604,28916,10,1,1,,,,
232,2021-12-19,2021-11-05,SO60360,362,15362,6,1,1,,,,
233,2021-05-15,2021-01-22,SO50488,389,25218,9,1,1,,,,
234,2021-10-30,2021-09-21,SO56956,584,21673,7,1,1,,,,
235,2021-10-07,2021-08-31,SO55692,539,28809,1,1,2,,,,
236,2021-12-21,2021-09-15,SO60462,528,25241,9,1,2,,,,
237,2021-09-19,2021-06-23,SO54656,530,15114,8,2,3,,,,
238,2021-12-15,2021-08-22,SO60083,480,12550,10,3,2,,,,
239,2021-11-26,2021-09-23,SO58622,223,12489,7,1,2,,,,
240,2021-11-10,2021-10-15,SO57697,480,16183,9,2,2,,,,
241,2021-08-22,2021-07-24,SO52956,358,11317,1,1,1,,,,
242,2021-08-22,2021-07-09,SO52945,535,19056,7,1,2,,,,
243,2021-09-22,2021-08-22,SO54777,480,26264,4,2,2,,,,
244,2021-11-16,2021-08-07,SO58064,528,12703,9,3,2,,,,
245,2021-09-08,2021-08-18,SO54018,537,14282,6,1,1,,,,
246,2021-11-06,2021-09-30,SO57528,480,23075,4,3,2,,,,
247,2021-08-02,2021-05-21,SO51964,373,18309,9,1,1,,,,
248,2021-12-11,2021-10-21,SO59831,223,11358,9,2,3,,,,
249,2021-12-12,2021-10-11,SO59899,529,24026,10,3,2,,,,
250,2021-09-23,2021-06-30,SO54867,540,18706,9,2,1,,,,
251,2021-09-06,2021-08-16,SO53893,464,16863,1,3,2,,,,
252,2021-10-22,2021-09-05,SO56489,528,17052,9,1,2,,,,
253,2021-12-27,2021-09-23,SO60849,480,20975,10,4,1,,,,
254,2021-08-21,2021-04-26,SO52896,540,24429,1,1,1,,,,
255,2021-11-16,2021-09-19,SO58020,352,12323,7,1,1,,,,
256,2021-05-21,2021-03-06,SO50537,332,27341,9,1,1,,,,
257,2021-12-01,2021-08-06,SO59118,586,14949,10,1,1,,,,
258,2021-10-15,2021-08-08,SO56165,541,22698,7,1,2,,,,
259,2021-12-09,2021-11-06,SO59700,606,25991,6,1,1,,,,
260,2021-08-22,2021-06-24,SO52949,530,14799,10,2,2,,,,
261,2021-10-08,2021-07-25,SO55812,214,14276,9,4,1,,,,
262,2021-09-04,2021-08-11,SO53801,488,17437,4,2,1,,,,
263,2021-12-12,2021-11-02,SO59889,577,23725,6,1,1,,,,
264,2021-12-12,2021-11-03,SO59880,360,13433,4,1,1,,,,
265,2021-08-01,2021-05-24,SO51894,215,14567,6,3,1,,,,
266,2021-10-15,2021-09-12,SO56168,528,13860,6,1,1,,,,
267,2021-08-24,2021-08-09,SO53056,220,11297,4,4,1,,,,
268,2021-12-30,2021-11-21,SO61033,588,17069,9,1,1,,,,
269,2021-12-26,2021-09-26,SO60818,561,11109,9,2,1,,,,
270,2021-05-22,2021-01-30,SO50538,358,21614,6,1,1,,,,
271,2021-09-25,2021-08-29,SO54934,477,12317,10,3,2,,,,
272,2021-10-28,2021-07-19,SO56810,529,24396,4,2,2,,,,
273,2021-10-06,2021-07-04,SO55623,490,11241,7,5,1,,,,
274,2021-10-02,2021-06-30,SO55438,235,16976,4,3,1,,,,
275,2021-09-02,2021-07-19,SO53665,477,24537,10,3,2,,,,
276,2021-11-18,2021-09-20,SO58133,466,14682,9,4,2,,,,
277,2021-11-27,2021-09-11,SO58690,360,11919,9,1,1,,,,
278,2021-07-05,2021-05-21,SO51249,478,11334,10,2,2,,,,
279,2021-09-18,2021-08-06,SO54561,215,16295,7,3,1,,,,
280,2021-06-28,2021-05-30,SO51058,385,14472,4,1,1,,,,
281,2021-12-02,2021-10-30,SO59198,584,22291,4,1,1,,,,
282,2021-12-01,2021-08-26,SO59109,473,16149,6,2,1,,,,
283,2021-02-04,2020-12-27,SO49207,369,23432,9,1,1,,,,
284,2021-11-15,2021-09-01,SO57973,214,26059,4,3,1,,,,
285,2021-07-11,2021-04-16,SO51347,485,11062,1,2,2,,,,
286,2021-11-03,2021-09-13,SO57325,536,22735,1,1,2,,,,
287,2021-07-16,2021-06-12,SO51427,537,11243,10,2,1,,,,
288,2021-09-03,2021-05-15,SO53745,480,15065,8,2,2,,,,
289,2021-10-10,2021-06-24,SO55869,485,12272,10,2,2,,,,
290,2021-02-21,2020-11-26,SO49379,360,27067,4,1,1,,,,
291,2021-09-06,2021-05-13,SO53880,537,22841,9,1,1,,,,
292,2021-07-01,2021-05-13,SO51186,573,24339,4,1,1,,,,
293,2021-10-05,2021-09-18,SO55567,529,27658,1,2,2,,,,
294,2021-10-21,2021-08-09,SO56454,474,20758,1,1,1,,,,
295,2021-10-16,2021-08-14,SO56201,474,18675,4,1,1,,,,
296,2021-08-14,2021-05-13,SO52530,476,22167,9,1,1,,,,
297,2021-12-07,2021-11-17,SO59490,362,12333,7,1,1,,,,
298,2021-11-25,2021-09-29,SO58570,360,13424,1,1,1,,,,
299,2021-11-14,2021-08-18,SO57910,598,17772,10,1,1,,,,
300,2021-12-07,2021-11-02,SO59547,477,15176,6,2,2,,,,
301,2021-12-14,2021-10-08,SO60002,536,23691,1,1,2,,,,
302,2021-10-13,2021-07-10,SO56044,478,11200,6,1,2,,,,
303,2021-12-19,2021-10-23,SO60347,528,14593,4,1,1,,,,
304,2021-12-31,2021-11-23,SO61171,479,11241,7,3,2,,,,
305,2021-05-08,2021-04-12,SO50414,387,19285,8,1,1,,,,
306,2021-08-18,2021-07-29,SO52771,488,22642,10,2,1,,,,
307,2021-10-30,2021-09-09,SO56957,484,13258,8,4,2,,,,
308,2021-11-13,2021-08-11,SO57866,214,22891,4,3,1,,,,
309,2021-08-11,2021-06-20,SO52386,223,11331,6,2,3,,,,
310,2021-09-20,2021-09-03,SO54707,578,23267,6,1,1,,,,
311,2021-09-21,2021-07-20,SO54767,477,21064,7,3,2,,,,
312,2021-12-28,2021-11-18,SO60895,356,13607,8,1,1,,,,
313,2021-10-10,2021-07-20,SO55919,490,19985,1,2,1,,,,
314,2021-08-24,2021-05-30,SO53013,528,24899,9,1,2,,,,
315,2021-09-30,2021-08-04,SO55205,528,19870,6,1,2,,,,
316,2021-09-23,2021-07-06,SO54848,528,15910,4,1,2,,,,
317,2021-12-01,2021-09-04,SO59120,579,25588,7,1,1,,,,
318,2021-09-02,2021-08-01,SO53714,477,16360,1,3,1,,,,
319,2021-09-23,2021-06-30,SO54830,529,27727,4,1,3,,,,
320,2021-09-26,2021-06-25,SO55006,480,19064,8,3,2,,,,
321,2021-06-15,2021-04-04,SO50923,332,15984,4,1,1,,,,
322,2021-11-09,2021-10-03,SO57639,480,11019,6,2,2,,,,
323,2021-11-22,2021-10-13,SO58372,536,12097,6,2,2,,,,
324,2021-12-27,2021-10-19,SO60839,484,28773,4,1,2,,,,
325,2021-10-24,2021-07-09,SO56608,479,19962,9,1,3,,,,
326,2021-08-28,2021-05-22,SO53266,214,23743,10,2,1,,,,
327,2021-12-11,2021-08-28,SO59830,575,13581,10,1,1,,,,
328,2021-11-05,2021-08-20,SO57446,475,20139,4,1,1,,,,
329,2021-12-03,2021-08-29,SO59260,563,25284,4,1,1,,,,
330,2021-05-11,2021-04-26,SO50443,362,11416,7,1,1,,,,
331,2021-11-02,2021-07-18,SO57246,536,15434,9,1,2,,,,
332,2021-10-03,2021-07-26,SO55465,483,29232,1,4,1,,,,
333,2021-12-10,2021-09-10,SO59740,529,19425,10,2,2,,,,
334,2021-08-08,2021-05-16,SO52217,536,17078,9,1,2,,,,
335,2021-10-03,2021-06-19,SO55454,220,12213,8,4,1,,,,
336,2021-10-11,2021-08-07,SO55935,235,28595,4,1,1,,,,
337,2021-12-17,2021-08-30,SO60201,480,11287,6,2,1,,,,
338,2021-11-12,2021-09-30,SO57804,474,16470,10,2,1,,,,
339,2021-11-30,2021-10-28,SO58894,484,25391,4,4,3,,,,
340,2021-11-12,2021-08-29,SO57815,529,11542,10,1,2,,,,
341,2021-11-06,2021-08-23,SO57489,462,17375,9,1,2,,,,
342,2021-08-06,2021-06-04,SO52140,214,26852,8,3,1,,,,
343,2021-12-25,2021-09-11,SO60764,220,11080,9,2,1,,,,
344,2021-09-21,2021-06-28,SO54735,478,14723,6,2,2,,,,
345,2021-08-21,2021-07-04,SO52887,528,21565,9,2,3,,,,
346,2021-10-30,2021-08-24,SO56951,567,28845,1,1,1,,,,
347,2021-08-27,2021-05-02,SO53237,561,11002,9,1,1,,,,
348,2021-10-31,2021-09-27,SO56988,481,20574,8,2,3,,,,
349,2021-10-18,2021-09-23,SO56276,223,20852,10,3,1,,,,
350,2021-02-11,2021-01-14,SO49279,362,14045,9,1,1,,,,
351,2021-07-24,2021-04-02,SO51550,352,11387,10,1,1,,,,
352,2021-03-19,2021-03-02,SO49716,377,17722,8,1,1,,,,
353,2021-12-02,2021-10-01,SO59170,232,16590,10,2,1,,,,
354,2021-11-07,2021-07-10,SO57587,479,11984,6,2,2,,,,
355,2021-11-03,2021-07-20,SO57363,570,26499,4,1,1,,,,
356,2021-09-24,2021-05-27,SO54903,478,20413,4,1,3,,,,
357,2021-12-16,2021-09-24,SO60158,485,14890,4,1,2,,,,
358,2021-02-18,2020-10-28,SO49345,362,14070,9,1,1,,,,
359,2021-10-11,2021-07-19,SO55942,477,17031,4,1,2,,,,
360,2021-09-08,2021-07-11,SO54025,214,12177,6,2,1,,,,
361,2021-08-26,2021-05-28,SO53166,537,15378,6,1,1,,,,
362,2021-11-27,2021-11-10,SO58661,223,19760,4,3,1,,,,
363,2021-08-19,2021-05-01,SO52802,214,18751,4,2,1,,,,
364,2021-09-04,2021-07-12,SO53815,487,26898,7,3,1,,,,
365,2021-11-09,2021-08-20,SO57682,235,20073,1,2,1,,,,
366,2021-10-21,2021-07-05,SO56479,491,23904,10,2,1,,,,
367,2021-10-12,2021-07-19,SO56001,529,27939,10,1,1,,,,
368,2021-11-20,2021-09-25,SO58269,464,16593,10,2,2,,,,
369,2021-12-13,2021-10-24,SO59923,220,11728,1,1,1,,,,
370,2021-12-19,2021-10-23,SO60347,528,14593,4,1,1,,,,
371,2021-08-14,2021-05-21,SO52566,477,11227,4,3,2,,,,
372,2021-11-16,2021-08-07,SO58064,528,12703,9,3,2,,,,
373,2021-12-15,2021-09-26,SO60098,485,13431,1,2,2,,,,
374,2021-11-24,2021-10-29,SO58527,537,13348,4,2,1,,,,
375,2021-09-06,2021-06-01,SO53878,485,12299,10,4,2,,,,
376,2021-11-30,2021-10-24,SO58896,574,25079,1,1,1,,,,
377,2021-10-16,2021-06-24,SO56191,223,14099,9,1,3,,,,
378,2021-09-01,2021-08-14,SO53633,223,23473,1,5,1,,,,
379,2021-08-21,2021-05-15,SO52918,537,11865,4,1,1,,,,
380,2021-11-30,2021-09-02,SO58845,535,20046,7,2,2,,,,
381,2021-07-12,2021-05-26,SO51360,356,11388,10,1,1,,,,
382,2021-12-31,2021-11-23,SO61171,479,11241,7,3,2,,,,
383,2021-09-30,2021-09-14,SO55197,478,12363,6,2,2,,,,
384,2021-06-05,2021-05-05,SO50808,352,11546,7,1,1,,,,
